features,accs,freqs
2244,0.7085714285714285,7
474,0.72,11
620,0.7866666666666667,3
1646,0.7777777777777778,18
1648,0.8133333333333335,3
1651,0.7600000000000001,23
1655,0.768695652173913,23
2158,0.7504000000000001,25
2161,0.7236363636363635,11
2764,0.92,1
486,0.745,8
829,0.708,10
830,0.704,10
834,0.7177777777777777,18
1068,0.736,10
463,0.7790476190476192,21
695,0.776,10
696,0.78,2
697,0.7733333333333334,3
1670,0.7721739130434785,23
1673,0.7670588235294117,17
1674,0.7826086956521741,23
1675,0.7828571428571428,14
2290,0.76,1
2732,0.7557894736842106,19
2739,0.7345454545454545,11
836,0.7111111111111111,18
837,0.7000000000000001,6
1665,0.7571428571428571,14
1669,0.7659999999999999,20
1686,0.68,1
1687,0.7784615384615384,13
657,0.88,1
675,0.7714285714285714,7
2106,0.744,10
2107,0.76,7
2108,0.7288888888888889,9
2121,0.88,1
679,0.68,1
1000,0.74,8
1001,0.7457142857142857,14
1002,0.66,2
1003,0.68,1
1004,0.6666666666666666,3
1005,0.68,1
1008,0.68,1
1026,0.7100000000000001,4
1027,0.68,1
2218,0.68,1
2225,0.73,4
2226,0.7466666666666666,3
305,0.72,2
850,0.7,16
2262,0.76,2
2662,0.78,2
742,0.65,4
744,0.728,10
745,0.728,10
1064,0.7200000000000001,3
1067,0.7418181818181818,11
1085,0.81,4
1680,0.7733333333333334,3
831,0.6799999999999999,5
845,0.6984615384615385,13
99,0.74,4
464,0.712,5
465,0.7200000000000001,4
466,0.78,4
623,0.76,2
1424,0.76,1
1652,0.748888888888889,18
1654,0.752,20
2183,0.784,5
691,0.74,2
692,0.7714285714285714,7
694,0.7200000000000001,3
1650,0.7626666666666667,15
2034,0.68,1
2038,0.68,1
2039,0.68,1
2040,0.68,2
481,0.8,5
485,0.7485714285714286,7
999,0.7200000000000001,5
58,0.76,8
718,0.8,2
746,0.75,4
747,0.8,1
2247,0.7999999999999999,6
2222,0.72,2
2153,0.7244444444444444,9
2155,0.7199999999999999,11
2160,0.74,4
72,0.88,1
2379,0.88,1
2380,0.88,1
2749,0.78,2
2750,0.7600000000000001,4
462,0.7672727272727272,11
1683,0.7600000000000001,6
1685,0.78,4
375,0.7333333333333334,3
480,0.76,4
493,0.76,1
497,0.76,1
1066,0.75,4
1659,0.76,10
1660,0.7621052631578946,19
1661,0.776,5
1666,0.8,2
2276,0.76,1
833,0.68,6
864,0.6933333333333334,3
866,0.6933333333333334,3
727,0.64,1
728,0.74,4
847,0.6533333333333334,3
860,0.6666666666666666,6
1645,0.75,4
1640,0.8,1
1641,0.8,1
1642,0.72,4
1643,0.72,4
1644,0.8,1
1647,0.7733333333333334,3
1973,0.8000000000000002,3
461,0.8000000000000002,3
473,0.7257142857142858,7
101,0.7200000000000001,3
622,0.76,1
1653,0.69,8
1658,0.73,4
2291,0.74,2
2125,0.76,4
2126,0.76,4
772,0.6400000000000001,3
773,0.56,1
54,0.7142857142857142,7
57,0.7066666666666667,3
814,0.72,2
815,0.68,1
817,0.68,1
818,0.72,2
819,0.6000000000000001,2
2723,0.78,4
669,0.76,2
467,0.8,2
471,0.7066666666666667,3
472,0.7066666666666667,3
475,0.78,2
476,0.78,2
477,0.78,2
479,0.78,2
53,0.6933333333333334,3
55,0.64,1
56,0.7,2
59,0.7333333333333334,3
2185,0.64,1
670,0.76,1
1084,0.7999999999999999,3
1089,0.7999999999999999,3
2140,0.7066666666666667,3
2411,0.76,1
94,0.7733333333333334,3
2277,0.7333333333333334,3
2726,0.776,5
2017,0.68,1
2019,0.68,1
2020,0.68,1
2022,0.68,1
2023,0.68,1
2024,0.68,1
2026,0.68,1
2027,0.72,2
826,0.6666666666666666,3
1681,0.8266666666666667,6
1694,0.92,1
1879,0.8,1
2725,0.7733333333333334,3
2727,0.8,1
2729,0.68,2
2730,0.68,2
2731,0.68,2
693,0.8,1
1684,0.74,2
2119,0.8200000000000001,2
2733,0.64,2
2736,0.68,4
823,0.76,1
2146,0.84,1
2196,0.79,4
2127,0.92,1
1563,0.6000000000000001,2
1565,0.68,1
1566,0.68,1
1567,0.68,1
1568,0.68,1
1569,0.68,1
388,0.64,1
2200,0.72,1
2724,0.7733333333333334,3
2281,0.76,1
386,0.62,2
2114,0.64,1
2227,0.84,1
1160,0.76,1
2746,0.76,1
2752,0.7999999999999999,3
2194,0.74,2
2832,0.64,1
865,0.72,2
867,0.8,1
868,0.8,1
869,0.8,1
870,0.8,1
789,0.68,1
896,0.68,1
900,0.68,1
2740,0.7733333333333334,3
2109,0.64,1
2110,0.64,1
2111,0.64,1
1243,0.96,1
2737,0.96,1
2741,0.96,1
2744,0.96,1
2745,0.96,1
2753,0.96,1
2352,0.72,1
385,0.6,1
1035,0.6,1
1063,0.6,1
2242,0.76,1
491,0.56,1
730,0.76,1
102,0.6,1
2279,0.6,1
2103,0.76,1
